document_id,user_id,document_type,submission_date,verification_status,ai_confidence_score,fraud_detection_flag,processing_time_sec,comments
DOC00025,USER2400,Bank Statement,2024-09-20,Verified,93.64,False,4.77,Valid document
DOC00026,USER4078,ID Card,2024-12-10,Manual Review,54.35,True,1.19,Issues detected
DOC00027,USER5263,Passport,2024-12-27,Manual Review,63.59,False,2.58,Issues detected
DOC00028,USER3008,ID Card,2024-11-20,Manual Review,59.9,True,0.53,Issues detected
DOC00029,USER3535,Driver's License,2024-10-31,Manual Review,74.0,True,2.58,Issues detected
DOC00030,USER5123,Driver's License,2024-11-11,Verified,93.71,False,3.33,Valid document
DOC00031,USER5452,ID Card,2025-01-30,Manual Review,52.84,False,3.64,Issues detected
DOC00032,USER7684,Utility Bill,2024-07-02,Rejected,14.84,True,4.28,Issues detected
DOC00033,USER7021,Driver's License,2024-09-10,Verified,98.34,False,1.74,Valid document
DOC00034,USER9142,Bank Statement,2024-06-11,Rejected,9.32,False,4.45,Issues detected
DOC00035,USER6734,Utility Bill,2025-01-14,Rejected,8.22,False,3.55,Issues detected
DOC00036,USER5537,Utility Bill,2024-06-27,Rejected,13.07,True,3.29,Issues detected
DOC00037,USER1577,ID Card,2024-12-21,Manual Review,71.62,True,4.85,Issues detected
DOC00038,USER6780,Bank Statement,2024-06-20,Verified,89.6,False,3.26,Valid document
DOC00039,USER9613,Driver's License,2024-12-27,Rejected,10.33,True,3.86,Issues detected
DOC00040,USER9318,ID Card,2024-07-14,Rejected,33.35,True,2.96,Issues detected
DOC00041,USER3011,Bank Statement,2024-12-25,Manual Review,53.34,False,2.13,Issues detected
DOC00042,USER2456,ID Card,2024-08-26,Rejected,9.07,True,4.16,Issues detected
DOC00043,USER9970,Driver's License,2024-07-06,Rejected,23.28,False,4.51,Issues detected
DOC00044,USER7458,Driver's License,2024-09-25,Verified,93.07,False,1.15,Valid document
DOC00045,USER7237,Driver's License,2025-02-19,Rejected,43.59,True,3.4,Issues detected
DOC00046,USER7548,Driver's License,2024-04-03,Rejected,15.47,False,3.61,Issues detected
DOC00047,USER4388,Passport,2024-06-05,Verified,84.05,False,1.14,Valid document
DOC00048,USER9107,Driver's License,2024-07-22,Manual Review,61.19,True,2.84,Issues detected
DOC00049,USER6468,Utility Bill,2024-04-06,Verified,87.03,False,0.64,Valid document
DOC00050,USER4759,Driver's License,2024-08-10,Verified,90.55,False,3.32,Valid document
DOC00051,USER9057,Bank Statement,2024-08-05,Verified,96.93,False,1.57,Valid document
DOC00052,USER4969,Driver's License,2024-08-27,Verified,87.02,False,3.91,Valid document
DOC00053,USER9636,Passport,2024-09-04,Verified,92.0,False,0.92,Valid document
DOC00054,USER1658,ID Card,2024-11-13,Rejected,21.2,False,2.2,Issues detected
DOC00055,USER5093,Utility Bill,2025-03-10,Rejected,37.32,False,3.32,Issues detected
DOC00056,USER7780,ID Card,2024-08-07,Rejected,19.49,True,3.66,Issues detected
DOC00057,USER9320,ID Card,2024-06-23,Verified,86.11,False,0.9,Valid document
DOC00058,USER7275,Utility Bill,2024-06-13,Manual Review,58.15,False,0.68,Issues detected
DOC00059,USER4360,Utility Bill,2025-02-07,Rejected,29.24,False,1.49,Issues detected
DOC00060,USER1995,Passport,2024-07-08,Manual Review,71.61,True,3.33,Issues detected
DOC00061,USER6047,Bank Statement,2024-04-28,Rejected,20.15,True,1.0,Issues detected
DOC00062,USER3272,Driver's License,2024-05-09,Verified,89.82,False,1.69,Valid document
DOC00063,USER4126,Passport,2024-11-15,Verified,94.58,False,4.91,Valid document
DOC00064,USER3545,ID Card,2024-11-06,Manual Review,50.03,False,3.02,Issues detected
DOC00065,USER6518,ID Card,2024-04-29,Rejected,2.03,True,0.9,Issues detected
DOC00066,USER8425,Bank Statement,2024-08-19,Verified,96.73,False,1.01,Valid document
DOC00067,USER9773,Driver's License,2024-09-02,Rejected,36.28,True,4.88,Issues detected
DOC00068,USER8729,ID Card,2024-12-14,Verified,97.43,False,1.68,Valid document
DOC00069,USER2273,Utility Bill,2024-08-07,Rejected,39.65,True,2.81,Issues detected
DOC00070,USER6206,Utility Bill,2024-10-05,Rejected,26.39,False,2.37,Issues detected
DOC00071,USER3592,Passport,2025-02-14,Manual Review,53.71,False,4.74,Issues detected
DOC00072,USER1652,Bank Statement,2025-03-25,Manual Review,78.17,True,3.46,Issues detected
DOC00073,USER1292,Driver's License,2024-11-20,Verified,99.7,False,4.84,Valid document
DOC00074,USER2410,Utility Bill,2024-09-02,Rejected,38.25,False,4.54,Issues detected
DOC00075,USER4715,Driver's License,2025-01-30,Manual Review,63.03,True,1.92,Issues detected
DOC00076,USER8871,ID Card,2025-01-03,Rejected,41.63,True,3.83,Issues detected
DOC00077,USER6774,Utility Bill,2024-08-31,Manual Review,65.6,True,0.63,Issues detected
DOC00078,USER9541,Passport,2024-08-26,Manual Review,64.71,False,4.47,Issues detected
DOC00079,USER9278,Driver's License,2024-11-19,Manual Review,63.29,True,1.39,Issues detected
DOC00080,USER1463,Utility Bill,2024-08-10,Manual Review,60.86,False,0.55,Issues detected
DOC00081,USER1876,Driver's License,2025-02-25,Rejected,38.74,False,1.49,Issues detected
DOC00082,USER4793,Bank Statement,2025-01-06,Rejected,40.66,False,3.04,Issues detected
DOC00083,USER4143,Passport,2024-04-03,Verified,82.05,False,1.79,Valid document
DOC00084,USER1966,Passport,2025-02-19,Verified,84.37,False,3.81,Valid document
DOC00085,USER9521,Passport,2024-10-05,Manual Review,66.55,True,1.1,Issues detected
DOC00086,USER5295,Passport,2024-11-13,Verified,83.94,False,1.16,Valid document
DOC00087,USER2971,Utility Bill,2024-11-19,Verified,87.32,False,3.44,Valid document
DOC00088,USER5679,Passport,2024-04-14,Manual Review,61.99,False,4.72,Issues detected
DOC00089,USER5021,Driver's License,2024-09-28,Manual Review,70.52,False,1.47,Issues detected
DOC00090,USER9354,Bank Statement,2024-04-13,Rejected,6.18,False,1.05,Issues detected
DOC00091,USER1682,ID Card,2024-06-02,Manual Review,62.92,True,0.82,Issues detected
DOC00092,USER8294,Driver's License,2024-09-02,Manual Review,76.99,False,4.32,Issues detected
DOC00093,USER8356,Driver's License,2024-08-25,Manual Review,72.14,True,1.36,Issues detected
DOC00094,USER7394,ID Card,2024-07-07,Rejected,15.8,False,4.69,Issues detected
DOC00095,USER8872,ID Card,2024-06-06,Manual Review,71.66,True,4.66,Issues detected
DOC00096,USER2108,Passport,2024-11-27,Rejected,15.13,False,1.0,Issues detected
DOC00097,USER5997,Utility Bill,2024-06-20,Rejected,27.05,True,3.75,Issues detected
DOC00098,USER4383,ID Card,2024-10-02,Verified,96.37,False,4.62,Valid document
DOC00099,USER5733,Passport,2025-03-02,Rejected,28.47,False,4.67,Issues detected
DOC00100,USER8182,Passport,2024-08-05,Rejected,21.16,False,1.79,Issues detected
DOC00101,USER2896,ID Card,2025-01-13,Rejected,26.93,True,0.79,Issues detected
DOC00102,USER7841,Utility Bill,2024-06-28,Verified,99.32,False,3.07,Valid document
DOC00103,USER4465,ID Card,2024-07-11,Rejected,31.01,True,1.87,Issues detected
DOC00104,USER8624,Passport,2024-04-30,Verified,93.66,False,3.64,Valid document
DOC00105,USER9088,Utility Bill,2025-02-10,Rejected,49.08,False,1.32,Issues detected
DOC00106,USER6855,Driver's License,2025-03-24,Verified,93.57,False,1.81,Valid document
DOC00107,USER3749,Utility Bill,2024-12-03,Manual Review,51.34,True,0.81,Issues detected
DOC00108,USER4809,Bank Statement,2024-11-23,Rejected,0.6,False,0.53,Issues detected
DOC00109,USER1743,Bank Statement,2024-11-26,Rejected,11.25,True,1.68,Issues detected
DOC00110,USER1160,Bank Statement,2025-03-08,Manual Review,60.37,False,0.78,Issues detected
DOC00111,USER1252,Utility Bill,2024-04-24,Manual Review,65.61,False,2.8,Issues detected
DOC00112,USER9633,Utility Bill,2024-09-12,Rejected,24.3,True,1.66,Issues detected
DOC00113,USER2796,Passport,2024-09-02,Rejected,49.31,True,2.01,Issues detected
DOC00114,USER2082,Passport,2024-04-27,Rejected,39.88,True,1.93,Issues detected
DOC00115,USER2561,Passport,2025-02-11,Rejected,46.18,True,2.27,Issues detected
DOC00116,USER5365,Utility Bill,2024-07-09,Manual Review,50.98,True,4.82,Issues detected
DOC00117,USER8393,Utility Bill,2024-11-24,Manual Review,75.72,False,1.96,Issues detected
DOC00118,USER6061,Driver's License,2025-03-18,Manual Review,67.93,True,0.78,Issues detected
DOC00119,USER5370,Driver's License,2024-11-03,Manual Review,64.29,False,4.24,Issues detected
DOC00120,USER8545,Driver's License,2025-02-23,Verified,80.02,False,4.87,Valid document
DOC00121,USER1247,Passport,2024-11-13,Manual Review,69.81,True,1.08,Issues detected
DOC00122,USER4152,Driver's License,2024-12-01,Rejected,28.51,False,1.73,Issues detected
DOC00123,USER5815,ID Card,2024-06-04,Verified,88.02,False,2.11,Valid document
DOC00124,USER9477,Passport,2024-11-11,Rejected,13.63,False,1.71,Issues detected
DOC00125,USER3955,Driver's License,2025-03-20,Rejected,24.47,False,1.4,Issues detected
DOC00126,USER5043,Utility Bill,2024-12-27,Manual Review,60.29,True,4.39,Issues detected
DOC00127,USER4083,Driver's License,2024-09-27,Verified,89.85,False,4.11,Valid document
DOC00128,USER6893,Passport,2024-06-22,Rejected,23.82,True,2.06,Issues detected
DOC00129,USER3673,Bank Statement,2025-02-05,Verified,86.8,False,1.29,Valid document
DOC00130,USER8833,Passport,2024-05-31,Rejected,18.31,True,4.56,Issues detected
DOC00131,USER6255,ID Card,2024-04-06,Verified,82.1,False,2.71,Valid document
DOC00132,USER6187,Bank Statement,2024-05-08,Rejected,13.45,False,1.63,Issues detected
DOC00133,USER2192,Driver's License,2024-07-24,Manual Review,67.62,False,1.93,Issues detected
DOC00134,USER5012,Driver's License,2024-08-08,Verified,85.2,False,1.86,Valid document
DOC00135,USER5596,ID Card,2024-12-22,Rejected,31.1,True,0.96,Issues detected
DOC00136,USER4189,Utility Bill,2024-12-04,Rejected,36.61,True,3.21,Issues detected
DOC00137,USER5741,ID Card,2024-12-06,Rejected,17.69,False,4.37,Issues detected
DOC00138,USER5130,Utility Bill,2024-10-10,Verified,86.23,False,4.19,Valid document
DOC00139,USER5733,Passport,2025-02-28,Manual Review,68.83,False,1.71,Issues detected
DOC00140,USER9310,ID Card,2024-10-22,Rejected,38.48,True,2.94,Issues detected
DOC00141,USER2953,Bank Statement,2024-06-27,Manual Review,55.82,True,4.68,Issues detected
DOC00142,USER3840,Bank Statement,2024-10-27,Manual Review,72.72,False,1.3,Issues detected
DOC00143,USER6729,Driver's License,2024-05-03,Manual Review,61.82,False,3.66,Issues detected
DOC00144,USER2744,Driver's License,2025-03-25,Manual Review,52.67,True,2.85,Issues detected
DOC00145,USER3918,Passport,2024-09-15,Manual Review,77.92,True,4.74,Issues detected
DOC00146,USER2692,Driver's License,2025-01-04,Rejected,31.12,False,1.1,Issues detected
DOC00147,USER8793,Passport,2025-02-05,Rejected,4.71,True,2.49,Issues detected
DOC00148,USER7180,ID Card,2024-07-22,Rejected,9.44,True,2.99,Issues detected
DOC00149,USER6739,ID Card,2025-01-28,Rejected,30.63,False,0.69,Issues detected
DOC00150,USER9343,Utility Bill,2024-07-14,Manual Review,65.07,False,1.67,Issues detected
DOC00151,USER7669,Passport,2024-04-24,Rejected,27.74,True,1.7,Issues detected
DOC00152,USER8363,ID Card,2025-03-18,Manual Review,58.76,False,0.95,Issues detected
DOC00153,USER8258,Passport,2024-12-30,Verified,82.68,False,4.91,Valid document
DOC00154,USER5264,Utility Bill,2024-05-15,Rejected,27.41,True,4.29,Issues detected
DOC00155,USER1523,Utility Bill,2024-05-19,Rejected,48.17,True,4.3,Issues detected
DOC00156,USER7439,ID Card,2025-01-31,Verified,80.46,False,4.76,Valid document
DOC00157,USER8599,Utility Bill,2024-07-31,Manual Review,75.5,True,1.03,Issues detected
DOC00158,USER6778,Utility Bill,2025-01-23,Verified,84.01,False,4.69,Valid document
DOC00159,USER1420,Driver's License,2024-06-11,Rejected,36.73,False,3.52,Issues detected
DOC00160,USER7749,Utility Bill,2024-10-07,Manual Review,51.32,False,2.64,Issues detected
DOC00161,USER6416,Bank Statement,2024-04-29,Verified,90.96,False,4.73,Valid document
DOC00162,USER4394,Utility Bill,2024-12-19,Rejected,4.3,True,4.72,Issues detected
DOC00163,USER6709,Passport,2024-05-02,Verified,99.95,False,3.88,Valid document
DOC00164,USER7936,Bank Statement,2024-07-04,Manual Review,58.86,True,4.64,Issues detected
DOC00165,USER7865,Bank Statement,2024-04-30,Verified,82.16,False,4.81,Valid document
DOC00166,USER3265,Passport,2024-10-09,Manual Review,74.75,False,4.3,Issues detected
DOC00167,USER9495,Driver's License,2024-05-06,Verified,88.73,False,0.73,Valid document
DOC00168,USER3639,Driver's License,2025-02-27,Rejected,15.08,False,2.94,Issues detected
DOC00169,USER1065,Driver's License,2024-10-27,Manual Review,67.76,True,3.14,Issues detected
DOC00170,USER4950,Passport,2024-09-29,Verified,92.96,False,2.71,Valid document
DOC00171,USER4725,Driver's License,2024-07-08,Verified,80.19,False,3.61,Valid document
DOC00172,USER3230,Passport,2024-06-13,Verified,96.06,False,1.28,Valid document
DOC00173,USER6502,Bank Statement,2025-03-16,Verified,84.2,False,2.96,Valid document
DOC00174,USER6209,Bank Statement,2024-05-08,Verified,98.21,False,4.66,Valid document
DOC00175,USER4005,ID Card,2024-06-23,Rejected,8.4,False,1.76,Issues detected
DOC00176,USER8790,Driver's License,2025-03-29,Verified,99.13,False,2.28,Valid document
DOC00177,USER4711,Passport,2024-09-26,Verified,97.85,False,1.27,Valid document
DOC00178,USER6708,ID Card,2025-02-18,Verified,97.86,False,2.67,Valid document
DOC00179,USER6596,Passport,2025-01-31,Verified,92.82,False,4.89,Valid document
DOC00180,USER2897,Driver's License,2024-07-30,Verified,86.54,False,4.56,Valid document
DOC00181,USER3933,Passport,2024-07-17,Rejected,42.01,False,3.9,Issues detected
DOC00182,USER4853,Driver's License,2024-11-23,Verified,87.61,False,1.98,Valid document
DOC00183,USER2485,Driver's License,2024-08-17,Rejected,48.1,False,1.27,Issues detected
DOC00184,USER3906,Bank Statement,2024-04-24,Verified,96.23,False,0.75,Valid document
DOC00185,USER7090,ID Card,2024-12-15,Rejected,1.73,False,3.82,Issues detected
DOC00186,USER5088,Bank Statement,2024-09-24,Manual Review,56.71,False,0.99,Issues detected
DOC00187,USER7542,Passport,2024-12-21,Manual Review,60.93,False,1.86,Issues detected
DOC00188,USER7586,ID Card,2025-03-09,Manual Review,79.15,False,0.66,Issues detected
DOC00189,USER3838,Utility Bill,2024-11-17,Verified,92.71,False,2.47,Valid document
DOC00190,USER9096,ID Card,2024-10-30,Verified,86.66,False,1.83,Valid document
DOC00191,USER3744,Passport,2024-08-30,Manual Review,70.96,False,4.92,Issues detected
DOC00192,USER4848,Bank Statement,2024-07-13,Verified,92.04,False,4.07,Valid document
DOC00193,USER1641,Utility Bill,2024-06-03,Verified,94.82,False,4.91,Valid document
DOC00194,USER7295,Utility Bill,2024-10-15,Verified,91.98,False,2.03,Valid document
DOC00195,USER8483,Driver's License,2024-12-14,Rejected,30.67,True,0.52,Issues detected
DOC00196,USER1669,Bank Statement,2024-09-13,Manual Review,79.49,True,0.86,Issues detected
DOC00197,USER1838,Driver's License,2024-10-29,Manual Review,67.58,True,4.15,Issues detected
DOC00198,USER3124,ID Card,2024-09-29,Verified,87.94,False,2.9,Valid document
DOC00199,USER8373,ID Card,2024-09-15,Verified,92.02,False,3.59,Valid document
DOC00200,USER1811,Passport,2025-03-24,Verified,85.95,False,4.19,Valid document
DOC00201,USER9413,Utility Bill,2024-05-17,Verified,81.34,False,4.25,Valid document
DOC00202,USER6856,Utility Bill,2024-04-29,Verified,89.47,False,2.05,Valid document
DOC00203,USER6631,Utility Bill,2024-04-10,Verified,84.3,False,3.99,Valid document
DOC00204,USER8714,ID Card,2025-03-06,Rejected,23.02,True,4.04,Issues detected
DOC00205,USER5558,Utility Bill,2025-03-09,Rejected,44.17,False,1.55,Issues detected
DOC00206,USER2249,Passport,2024-11-20,Verified,89.05,False,1.2,Valid document
DOC00207,USER6480,Utility Bill,2025-02-18,Verified,80.15,False,2.44,Valid document
DOC00208,USER4939,Bank Statement,2024-12-01,Rejected,5.06,False,3.15,Issues detected
DOC00209,USER3178,Bank Statement,2024-05-09,Verified,82.58,False,2.18,Valid document
DOC00210,USER2555,Passport,2025-03-13,Manual Review,78.27,True,4.18,Issues detected
DOC00211,USER6611,Utility Bill,2025-02-14,Rejected,20.0,False,4.56,Issues detected
DOC00212,USER8264,Bank Statement,2024-06-30,Rejected,17.55,False,1.58,Issues detected
DOC00213,USER9707,Bank Statement,2024-09-09,Rejected,14.74,True,2.74,Issues detected
DOC00214,USER7055,Driver's License,2024-10-26,Verified,86.81,False,3.09,Valid document
DOC00215,USER9585,Driver's License,2024-08-18,Verified,80.46,False,3.56,Valid document
DOC00216,USER5289,Passport,2024-07-15,Rejected,32.72,False,0.66,Issues detected
DOC00217,USER2021,Passport,2025-02-17,Rejected,18.34,False,1.34,Issues detected
DOC00218,USER6622,Bank Statement,2025-02-23,Rejected,5.58,True,3.2,Issues detected
DOC00219,USER1155,Driver's License,2024-07-19,Verified,91.17,False,2.22,Valid document
DOC00220,USER6084,Passport,2024-07-03,Rejected,44.14,False,3.21,Issues detected
DOC00221,USER7063,ID Card,2024-11-14,Rejected,30.03,True,1.52,Issues detected
DOC00222,USER5788,Bank Statement,2024-09-15,Verified,80.8,False,2.2,Valid document
DOC00223,USER1589,ID Card,2024-04-26,Verified,83.11,False,2.78,Valid document
DOC00224,USER4933,Utility Bill,2024-06-07,Verified,85.24,False,3.1,Valid document
DOC00225,USER9692,ID Card,2025-03-31,Verified,96.44,False,4.22,Valid document
DOC00226,USER9760,Driver's License,2024-07-05,Manual Review,60.12,True,4.34,Issues detected
DOC00227,USER9222,Utility Bill,2025-01-26,Verified,94.83,False,0.78,Valid document
DOC00228,USER3310,Bank Statement,2025-03-26,Rejected,11.88,False,3.13,Issues detected
DOC00229,USER2045,ID Card,2024-08-26,Verified,83.93,False,3.86,Valid document
DOC00230,USER1124,ID Card,2024-06-24,Manual Review,74.09,False,3.34,Issues detected
DOC00231,USER5985,Driver's License,2024-12-07,Rejected,8.59,True,2.08,Issues detected
DOC00232,USER2549,ID Card,2024-09-27,Manual Review,60.32,True,2.2,Issues detected
DOC00233,USER3435,Bank Statement,2024-07-09,Verified,81.65,False,2.35,Valid document
DOC00234,USER2713,ID Card,2024-07-02,Verified,84.24,False,2.91,Valid document
DOC00235,USER3285,Bank Statement,2025-02-24,Verified,90.29,False,1.78,Valid document
DOC00236,USER5560,Bank Statement,2024-04-16,Verified,90.03,False,0.85,Valid document
DOC00237,USER7009,Bank Statement,2024-04-09,Manual Review,61.49,True,1.02,Issues detected
DOC00238,USER5445,Bank Statement,2024-11-22,Rejected,42.99,False,1.82,Issues detected
DOC00239,USER3757,Utility Bill,2024-08-05,Verified,81.68,False,3.27,Valid document
DOC00240,USER1003,Utility Bill,2024-11-22,Rejected,28.53,False,3.87,Issues detected
DOC00241,USER2276,Driver's License,2025-01-30,Verified,97.83,False,1.61,Valid document
DOC00242,USER5005,Utility Bill,2024-09-05,Verified,90.53,False,3.97,Valid document
DOC00243,USER3051,Passport,2024-10-09,Manual Review,66.65,False,3.21,Issues detected
DOC00244,USER2034,Utility Bill,2024-09-10,Manual Review,74.26,True,2.23,Issues detected
DOC00245,USER5674,Driver's License,2025-03-29,Verified,86.4,False,2.44,Valid document
DOC00246,USER5747,Utility Bill,2025-02-03,Manual Review,64.45,True,2.52,Issues detected
DOC00247,USER4782,ID Card,2024-07-10,Verified,98.12,False,4.58,Valid document
DOC00248,USER5697,Passport,2025-02-03,Manual Review,68.96,True,1.69,Issues detected
DOC00249,USER1949,Utility Bill,2024-12-15,Manual Review,52.64,False,1.9,Issues detected
DOC00250,USER3252,Bank Statement,2024-09-24,Rejected,7.1,False,2.61,Issues detected
DOC00251,USER9674,Driver's License,2024-09-20,Verified,98.07,False,3.49,Valid document
DOC00252,USER9686,ID Card,2024-09-09,Rejected,26.8,True,2.72,Issues detected
DOC00253,USER2593,Passport,2024-09-07,Rejected,14.75,False,4.61,Issues detected
DOC00254,USER2527,Bank Statement,2025-01-20,Manual Review,72.31,False,3.9,Issues detected
DOC00255,USER2460,Driver's License,2024-07-02,Verified,99.47,False,2.31,Valid document
DOC00256,USER8196,ID Card,2024-10-21,Verified,99.62,False,0.9,Valid document
DOC00257,USER6215,Passport,2024-06-02,Manual Review,74.55,True,1.2,Issues detected
DOC00258,USER3069,Bank Statement,2025-02-04,Rejected,28.77,False,2.96,Issues detected
DOC00259,USER6201,Bank Statement,2025-02-27,Manual Review,62.36,True,3.64,Issues detected
DOC00260,USER6591,Driver's License,2024-11-21,Verified,87.92,False,3.07,Valid document
DOC00261,USER1179,Utility Bill,2024-05-17,Rejected,3.53,True,4.25,Issues detected
DOC00262,USER8973,Driver's License,2025-03-25,Verified,87.39,False,3.25,Valid document
DOC00263,USER1241,ID Card,2024-09-02,Manual Review,50.92,False,1.82,Issues detected
DOC00264,USER5035,ID Card,2024-12-07,Rejected,7.74,False,4.01,Issues detected
DOC00265,USER8295,Bank Statement,2024-10-03,Manual Review,55.17,False,1.05,Issues detected
DOC00266,USER1688,Passport,2024-08-17,Rejected,9.75,True,0.93,Issues detected
DOC00267,USER2553,ID Card,2024-05-30,Verified,95.77,False,3.19,Valid document
DOC00268,USER9461,Passport,2024-06-13,Manual Review,70.16,True,3.7,Issues detected
DOC00269,USER7915,Bank Statement,2024-04-27,Rejected,21.76,False,1.47,Issues detected
DOC00270,USER3626,Utility Bill,2024-10-11,Rejected,38.22,True,2.77,Issues detected
DOC00271,USER7587,Passport,2024-06-17,Rejected,23.46,True,4.66,Issues detected
DOC00272,USER2977,Bank Statement,2025-03-28,Verified,97.7,False,3.65,Valid document
DOC00273,USER1084,Driver's License,2025-01-15,Verified,98.79,False,4.06,Valid document
DOC00274,USER2703,Passport,2025-03-28,Rejected,41.37,False,1.88,Issues detected
DOC00275,USER4006,Driver's License,2024-11-21,Manual Review,59.75,False,4.45,Issues detected
DOC00276,USER7046,Utility Bill,2024-10-01,Rejected,9.45,True,3.25,Issues detected
DOC00277,USER9396,Utility Bill,2025-01-20,Rejected,45.75,False,0.65,Issues detected
DOC00278,USER3048,Passport,2025-01-26,Manual Review,58.35,False,4.63,Issues detected
DOC00279,USER5322,Bank Statement,2025-01-02,Rejected,37.63,True,2.65,Issues detected
DOC00280,USER9752,ID Card,2024-07-12,Rejected,16.56,False,4.7,Issues detected
DOC00281,USER4046,Passport,2025-01-07,Verified,90.46,False,3.29,Valid document
DOC00282,USER7215,Driver's License,2024-04-07,Rejected,14.53,False,4.53,Issues detected
DOC00283,USER3895,Utility Bill,2024-12-13,Rejected,30.81,True,1.28,Issues detected
DOC00284,USER5229,Passport,2024-04-15,Verified,83.3,False,1.77,Valid document
DOC00285,USER3324,Utility Bill,2024-07-06,Verified,98.12,False,0.84,Valid document
DOC00286,USER9161,ID Card,2024-09-14,Manual Review,75.25,True,3.66,Issues detected
DOC00287,USER2611,Driver's License,2024-05-03,Verified,94.02,False,4.44,Valid document
DOC00288,USER1783,Utility Bill,2024-08-28,Rejected,30.09,False,0.91,Issues detected
DOC00289,USER4166,Passport,2024-10-22,Manual Review,51.81,True,4.57,Issues detected
DOC00290,USER3794,Bank Statement,2025-02-06,Verified,82.78,False,0.54,Valid document
DOC00291,USER3618,Utility Bill,2025-02-10,Rejected,24.93,False,2.71,Issues detected
DOC00292,USER3261,Driver's License,2025-03-20,Manual Review,76.69,False,3.54,Issues detected
DOC00293,USER8371,ID Card,2024-08-20,Rejected,40.96,True,2.76,Issues detected
DOC00294,USER9339,Utility Bill,2024-12-20,Rejected,4.48,False,1.42,Issues detected
DOC00295,USER8162,Utility Bill,2024-05-11,Rejected,37.54,True,4.3,Issues detected
DOC00296,USER4474,Bank Statement,2024-05-22,Verified,99.32,False,2.32,Valid document
DOC00297,USER2376,Bank Statement,2024-04-20,Rejected,37.56,True,2.51,Issues detected
DOC00298,USER9761,Driver's License,2024-09-27,Manual Review,61.08,False,3.63,Issues detected
DOC00299,USER3160,Bank Statement,2024-11-30,Rejected,32.94,False,1.76,Issues detected
DOC00300,USER7174,Passport,2024-06-04,Manual Review,67.48,True,4.31,Issues detected
DOC00301,USER6256,Bank Statement,2025-01-26,Verified,81.33,False,0.95,Valid document
DOC00302,USER9876,Bank Statement,2025-02-26,Rejected,6.68,False,0.99,Issues detected
DOC00303,USER9159,Driver's License,2024-07-12,Rejected,24.54,False,4.03,Issues detected
DOC00304,USER6536,Driver's License,2024-08-03,Manual Review,68.1,False,2.73,Issues detected
DOC00305,USER3261,ID Card,2024-07-30,Verified,99.43,False,0.69,Valid document
DOC00306,USER8900,Driver's License,2025-02-14,Verified,88.75,False,0.82,Valid document
DOC00307,USER6862,Bank Statement,2024-06-30,Manual Review,57.7,False,3.36,Issues detected
DOC00308,USER7732,Utility Bill,2024-11-09,Rejected,19.51,False,2.53,Issues detected
DOC00309,USER3514,Passport,2024-10-13,Manual Review,70.7,True,0.97,Issues detected
DOC00310,USER2011,Passport,2024-12-30,Rejected,13.44,False,4.13,Issues detected
DOC00311,USER4258,Driver's License,2024-10-30,Manual Review,68.69,True,4.14,Issues detected
DOC00312,USER8509,Passport,2024-04-17,Verified,89.02,False,3.16,Valid document
DOC00313,USER7419,Passport,2024-04-21,Verified,83.78,False,4.34,Valid document
